ca_id,es_favorito,es_ofertada,notas
507,True,False,
4767,True,False,
5099,True,False,
2569,True,True,
1269,True,True,
1512,True,True,
4578,True,False,
6610,False,False,nota de ejemplo primera prueba13.ñ
811,True,False,
5316,True,False,
6809,True,False,
57,True,False,
3817,True,False,
3140,False,True,
1697,True,False,
6546,True,False,
2961,False,False,
6535,True,False,
3495,True,False,
